Region/Country/Area Code,Region/Country/Area,Year,Series,Value
11,Western Africa,2010,Land area (thousand hectares),"606,406"
11,Western Africa,2010,Arable land (thousand hectares),"82,855"
11,Western Africa,2010,Permanent crops (thousand hectares),"16,392"
11,Western Africa,2010,Forest cover (thousand hectares),"89,725"
11,Western Africa,2010,Arable land (% of total land area),13.7
11,Western Africa,2010,Permanent crops (% of total land area),2.7
11,Western Africa,2010,Forest cover (% of total land area),14.8
11,Western Africa,2018,Land area (thousand hectares),"606,406"
11,Western Africa,2018,Arable land (thousand hectares),"87,339"
11,Western Africa,2018,Permanent crops (thousand hectares),"16,251"
11,Western Africa,2018,Forest cover (thousand hectares),"85,446"
11,Western Africa,2018,Arable land (% of total land area),14.4
11,Western Africa,2018,Permanent crops (% of total land area),2.7
11,Western Africa,2018,Forest cover (% of total land area),14.1
19,Americas,2005,Land area (thousand hectares),"3,867,815"
19,Americas,2005,Arable land (thousand hectares),"342,572"
19,Americas,2005,Permanent crops (thousand hectares),"26,731"
19,Americas,2005,Forest cover (thousand hectares),"1,649,669"
19,Americas,2005,Arable land (% of total land area),8.9
19,Americas,2005,Permanent crops (% of total land area),0.7
19,Americas,2005,Forest cover (% of total land area),42.7
19,Americas,2010,Land area (thousand hectares),"3,866,368"
19,Americas,2010,Arable land (thousand hectares),"338,864"
19,Americas,2010,Permanent crops (thousand hectares),"26,421"
19,Americas,2010,Forest cover (thousand hectares),"1,624,344"
19,Americas,2010,Arable land (% of total land area),8.8
19,Americas,2010,Permanent crops (% of total land area),0.7
19,Americas,2010,Forest cover (% of total land area),42
19,Americas,2018,Land area (thousand hectares),"3,866,091"
19,Americas,2018,Arable land (thousand hectares),"351,261"
19,Americas,2018,Permanent crops (thousand hectares),"26,922"
19,Americas,2018,Forest cover (thousand hectares),"1,601,863"
19,Americas,2018,Arable land (% of total land area),9.1
19,Americas,2018,Permanent crops (% of total land area),0.7
19,Americas,2018,Forest cover (% of total land area),41.4
21,Northern America,2005,Land area (thousand hectares),"1,853,824"
21,Northern America,2005,Arable land (thousand hectares),"205,890"
21,Northern America,2005,Permanent crops (thousand hectares),"2,865"
21,Northern America,2005,Forest cover (thousand hectares),"653,693"
21,Northern America,2005,Arable land (% of total land area),11.1
21,Northern America,2005,Permanent crops (% of total land area),0.2
21,Northern America,2005,Forest cover (% of total land area),35.3
21,Northern America,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),28.67
21,Northern America,2010,Land area (thousand hectares),"1,852,374"
21,Northern America,2010,Arable land (thousand hectares),"195,407"
21,Northern America,2010,Permanent crops (thousand hectares),"2,877"
21,Northern America,2010,Forest cover (thousand hectares),"656,045"
21,Northern America,2010,Arable land (% of total land area),10.5
21,Northern America,2010,Permanent crops (% of total land area),0.2
21,Northern America,2010,Forest cover (% of total land area),35.4
21,Northern America,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),30.9
21,Northern America,2018,Land area (thousand hectares),"1,852,374"
21,Northern America,2018,Arable land (thousand hectares),"196,426"
21,Northern America,2018,Permanent crops (thousand hectares),"2,870"
21,Northern America,2018,Forest cover (thousand hectares),"656,800"
21,Northern America,2018,Arable land (% of total land area),10.6
21,Northern America,2018,Permanent crops (% of total land area),0.2
21,Northern America,2018,Forest cover (% of total land area),35.5
21,Northern America,2018,Important sites for terrestrial biodiversity protected (% of total sites protected),32.82
21,Northern America,2020,Important sites for terrestrial biodiversity protected (% of total sites protected),32.84
419,Latin America & the Caribbean,2005,Land area (thousand hectares),"2,013,990"
419,Latin America & the Caribbean,2005,Arable land (thousand hectares),"136,682"
419,Latin America & the Caribbean,2005,Permanent crops (thousand hectares),"23,866"
419,Latin America & the Caribbean,2005,Forest cover (thousand hectares),"995,976"
419,Latin America & the Caribbean,2005,Arable land (% of total land area),6.8
419,Latin America & the Caribbean,2005,Permanent crops (% of total land area),1.2
419,Latin America & the Caribbean,2005,Forest cover (% of total land area),49.5
419,Latin America & the Caribbean,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),30.49
419,Latin America & the Caribbean,2010,Land area (thousand hectares),"2,013,993"
419,Latin America & the Caribbean,2010,Arable land (thousand hectares),"143,457"
419,Latin America & the Caribbean,2010,Permanent crops (thousand hectares),"23,544"
